Package	Download_score
a4	197
a4Base	196
a4Classif	183
a4Core	211
a4Preproc	204
a4Reporting	183
ABAEnrichment	55
ABarray	189
abseqR	159
ABSSeq	226
acde	192
ACE	176
aCGH	256
ACME	252
ADaCGH2	192
ADAM	203
ADAMgui	149
ADAPT	53
adaptest	19
adductomicsR	148
ADImpute	167
adSplit	184
adverSCarial	110
AffiXcan	163
affxparser	1673
affy	7762
affycomp	231
AffyCompatible	95
affyContam	187
affycoretools	428
AffyExpress	63
affyILM	167
affyio	7910
affylmGUI	225
affyPara	63
affypdnn	81
affyPLM	959
affyQCReport	63
AffyRNADegradation	174
AffyTiling	43
AGDEX	171
aggregateBioVar	163
Agi4x44PreProcess	34
agilp	175
AgiMicroRna	268
AHMassBank	112
AIMS	369
airpart	137
alabaster	123
alabaster.base	3701
alabaster.bumpy	122
alabaster.files	107
alabaster.mae	126
alabaster.matrix	3639
alabaster.ranges	3512
alabaster.sce	1190
alabaster.schemas	3409
alabaster.se	3476
alabaster.sfe	37
alabaster.spatial	126
alabaster.string	119
alabaster.vcf	114
ALDEx2	1291
alevinQC	168
AllelicImbalance	189
AlphaBeta	160
AlphaMissenseR	128
alpine	47
ALPS	20
AlpsNMR	181
alsace	57
altcdfenvs	193
AMARETTO	226
AMOUNTAIN	174
amplican	175
ampliQueso	46
AnalysisPageServer	43
anamiR	19
Anaquin	140
ANCOMBC	1364
AneuFinder	168
ANF	146
animalcules	246
annaffy	320
AnnBuilder	11
annmap	179
annotate	16995
AnnotationDbi	37334
AnnotationFilter	10614
AnnotationForge	1823
AnnotationFuncs	47
AnnotationHub	11161
AnnotationHubData	341
annotationTools	193
annotatr	531
anota	183
anota2seq	184
antiProfiles	160
AnVIL	537
AnVILAz	99
AnVILBase	304
AnVILBilling	130
AnVILGCP	109
AnVILPublish	123
AnVILWorkflow	115
APAlyzer	170
apComplex	186
apeglm	3935
APL	182
applera	2
appreci8R	151
aroma.light	1722
ArrayExpress	432
ArrayExpressHTS	51
arrayMagic	15
arrayMvout	166
arrayQCplot	6
arrayQuality	283
arrayQualityMetrics	485
ArrayTools	59
ArrayTV	53
ARRmNormalization	164
artMS	181
ASAFE	128
ASEB	150
ASGSCA	166
ASICS	186
asmn	5
ASpediaFI	39
ASpli	188
AssessORF	219
ASSET	186
ASSIGN	200
assorthead	9345
ASURAT	148
ATACCoGAPS	38
ATACseqQC	436
ATACseqTFEA	139
atena	148
AtlasRDF	21
atSNP	156
attract	211
AUCell	2801
autonomics	147
Autotuner	19
AWFisher	155
awst	126
BaalChIP	192
BAC	68
bacon	231
BADER	165
BadRegionFinder	139
BAGS	160
ballgown	566
bambu	370
bamsignals	975
BANDITS	159
bandle	138
Banksy	322
banocc	157
barbieQ	47
barcodetrackR	143
basecallQC	174
BaseSpaceR	165
Basic4Cseq	166
BASiCS	217
BASiCStan	125
BasicSTARRseq	138
basilisk	3361
basilisk.utils	3238
batchCorr	1
batchelor	4036
BatchQC	216
BatchSVG	64
BayesKnockdown	141
BayesPeak	67
BayesSpace	364
bayNorm	169
baySeq	456
BBCAnalyzer	179
BCRANK	218
bcSeq	144
BDMMAcorrect	44
beachmat	15727
beachmat.hdf5	171
beachmat.tiledb	57
beadarray	655
beadarraySNP	88
BeadDataPackR	551
BeadExplorer	9
BEARscc	58
BEAT	183
BEclear	170
bedbaser	47
beer	132
benchdamic	114
BERT	101
betaHMM	105
betr	47
bettr	111
BG2	113
bgafun	51
BgeeCall	157
BgeeDB	165
BGmix	59
bgx	131
BHC	73
BicARE	193
BiFET	154
BiGGR	161
bigmelon	173
bigmemoryExtras	41
bigPint	48
bim	5
BindingSiteFinder	138
bioassayR	172
Biobase	51480
biobroom	268
biobtreeR	115
bioCancer	168
BioCartaImage	112
BiocBaseUtils	6898
BiocBook	133
BiocCaseStudies	59
BiocCheck	1587
biocDatasets	10
BiocDockerManager	24
BiocFHIR	130
BiocFileCache	25062
BiocGenerics	59720
biocGraph	270
BiocHail	70
BiocHubsShiny	145
BiocInstaller	144
BiocIO	19253
biocmake	207
BiocNeighbors	11073
BiocOncoTK	67
BioCor	170
BiocParallel	47759
BiocPkgTools	224
biocroxytest	99
BiocSet	404
BiocSingular	12757
BiocSklearn	200
BiocStyle	5513
biocthis	271
BiocVersion	62662
biocViews	4332
BiocWorkflowTools	217
biodb	181
biodbChebi	134
biodbExpasy	39
biodbHmdb	136
biodbKegg	62
biodbLipidmaps	30
biodbMirbase	19
biodbNcbi	134
biodbNci	114
biodbUniprot	121
bioDist	296
BioGA	94
biomaRt	21314
BioMedR	7
biomformat	5678
BioMM	44
BioMVCClass	184
biomvRCNS	174
BioNAR	150
BioNERO	259
BioNet	321
BioNetStat	53
BioQC	210
BioSeqClass	72
biosigner	167
Biostrings	48104
biosvd	48
BioTIP	164
biotmle	156
biovizBase	4853
BiRewire	255
birta	48
birte	29
biscuiteer	154
BiSeq	206
BitSeq	84
blacksheepr	161
blima	160
BLMA	159
BloodGen3Module	152
bluster	5911
bnbc	214
bnem	131
BOBaFIT	140
borealis	118
BPRMeth	183
BRAIN	222
brainflowprobes	49
brainImageR	10
BrainSABER	29
BrainStars	46
branchpointer	174
breakpointR	146
BreastSubtypeR	57
brendaDb	138
BREW3R.r	109
BRGenomics	60
bridge	65
BridgeDbR	185
broadSeq	101
BrowserViz	199
BrowserVizDemo	15
BSgenome	12023
BSgenomeForge	221
bsseq	1386
BubbleTree	193
BufferedMatrix	168
BufferedMatrixMethods	175
bugsigdbr	480
BulkSignalR	70
BUMHMM	150
bumphunter	2463
BumpyMatrix	426
BUS	202
BUScorrect	163
BUSpaRse	258
BUSseq	142
CaDrA	116
CAEN	129
CAFE	178
CAGEfightR	280
cageminer	143
CAGEr	302
CALIB	79
calm	115
CAMERA	490
CAMTHC	16
CaMutQC	105
canceR	187
cancerclass	453
CancerInSilico	50
CancerMutationAnalysis	71
CancerSubtypes	93
CAnD	40
caOmicsV	41
cardelino	144
Cardinal	322
CardinalIO	216
CARDspa	72
CARNIVAL	226
casper	167
CATALYST	533
Category	1275
categoryCompare	192
CatsCradle	94
CausalR	157
cbaf	146
CBEA	65
cBioPortalData	397
CBNplot	160
cbpManager	143
CCAFE	67
ccfindR	159
ccImpute	134
ccmap	162
CCPlotR	134
